sensor_temp,actual_temp,difference,day_index,direction
38.3,42.3,4.0,4,increasing
36.8,40.1,3.3,4,decreasing
35.1,38.0,2.9,4,decreasing
33.7,36.0,2.3,4,decreasing
31.7,33.5,1.8,4,decreasing
30.6,32.0,1.4,4,decreasing
29.1,30.0,0.9,4,decreasing
43.2,49.9,6.7,6,increasing
42.8,49.0,6.2,6,decreasing
42.2,48.0,5.8,6,decreasing
41.8,47.0,5.2,6,decreasing
41.0,46.0,5.0,6,decreasing
40.1,45.0,4.9,6,decreasing
39.5,44.0,4.5,6,decreasing
38.8,43.0,4.2,6,decreasing
38.0,42.0,4.0,6,decreasing
37.5,41.0,3.5,6,decreasing
36.5,40.0,3.5,6,decreasing
35.6,39.0,3.4,6,decreasing
35.0,38.0,3.0,6,decreasing
34.1,37.0,2.9,6,decreasing
33.2,36.0,2.8,6,decreasing
32.4,35.0,2.6,6,decreasing
31.7,34.0,2.3,6,decreasing
31.0,33.0,2.0,6,decreasing
30.2,32.0,1.8,6,decreasing
29.5,31.0,1.5,6,decreasing
28.8,30.0,1.2,6,decreasing
25.0,25.1,0.1,7,increasing
30.4,32.5,2.1,7,increasing
31.5,33.8,2.3,7,increasing
32.8,35.3,2.5,7,increasing
35.1,38.0,2.9,7,increasing
35.8,39.1,3.3,7,increasing
39.6,42.9,3.3,7,increasing
41.2,45.3,4.1,7,increasing
42.1,47.0,4.9,7,increasing
44.3,49.1,4.8,7,increasing
44.0,48.5,4.5,8,increasing
42.2,46.0,3.8,8,decreasing
40.8,44.0,3.2,8,decreasing
38.7,42.0,3.3,8,decreasing
37.4,40.0,2.6,8,decreasing
36.5,39.0,2.5,8,decreasing
35.7,38.0,2.3,8,decreasing
34.8,37.0,2.2,8,decreasing
33.9,36.0,2.1,8,decreasing
33.0,35.0,2.0,8,decreasing
32.4,34.0,1.6,8,decreasing
31.6,33.0,1.4,8,decreasing
30.7,32.0,1.3,8,decreasing
30.0,31.0,1.0,8,decreasing
29.0,30.0,1.0,8,decreasing
29.1,31.5,2.4,9,increasing
30.2,34.2,4.0,9,increasing
32.1,36.1,4.0,9,increasing
34.3,41.0,6.7,9,increasing
38.1,45.7,7.6,9,increasing
38.5,46.5,8.0,9,increasing
42.2,53.9,11.7,9,increasing
40.9,50.0,9.1,10,increasing
40.0,49.0,9.0,10,decreasing
39.5,48.0,8.5,10,decreasing
38.8,47.0,8.2,10,decreasing
38.0,46.0,8.0,10,decreasing
37.4,45.0,7.6,10,decreasing
36.7,44.0,7.3,10,decreasing
36.2,43.0,6.8,10,decreasing
35.7,42.0,6.3,10,decreasing
35.1,41.0,5.9,10,decreasing
34.4,40.0,5.6,10,decreasing
33.9,39.0,5.1,10,decreasing
33.2,38.0,4.8,10,decreasing
32.7,37.0,4.3,10,decreasing
32.1,36.0,3.9,10,decreasing
31.4,35.0,3.6,10,decreasing
30.7,34.0,3.3,10,decreasing
30.1,33.0,2.9,10,decreasing
29.6,32.0,2.4,10,decreasing
28.0,30.1,2.1,11,increasing
29.7,32.4,2.7,11,increasing
30.8,34.1,3.3,11,increasing
33.0,38.1,5.1,11,increasing
33.7,39.1,5.4,11,increasing
36.1,43.0,6.9,11,increasing
38.5,46.9,8.4,11,increasing
40.3,50.0,9.7,11,increasing
40.3,49.0,8.7,12,increasing
40.0,48.0,8.0,12,decreasing
39.6,47.0,7.4,12,decreasing
39.0,46.0,7.0,12,decreasing
38.3,45.0,6.7,12,decreasing
37.6,44.0,6.4,12,decreasing
36.8,43.0,6.2,12,decreasing
36.5,42.0,5.5,12,decreasing
35.6,41.0,5.4,12,decreasing
34.9,40.0,5.1,12,decreasing
34.3,39.0,4.7,12,decreasing
33.6,38.0,4.4,12,decreasing
32.9,37.0,4.1,12,decreasing
32.0,36.0,4.0,12,decreasing
32.2,35.0,2.8,12,decreasing
30.5,34.0,3.5,12,decreasing
29.9,33.0,3.1,12,decreasing
29.3,32.0,2.7,12,decreasing
28.5,31.0,2.5,12,decreasing
27.8,30.0,2.2,13,increasing
29.0,32.5,3.5,13,increasing
30.6,34.0,3.4,13,increasing
32.7,37.2,4.5,13,increasing
35.0,40.7,5.7,13,increasing
35.9,42.8,6.9,13,increasing
38.8,47.0,8.2,13,increasing
39.9,50.0,10.1,14,increasing
39.1,48.0,8.9,14,decreasing
38.5,46.5,8.0,14,decreasing
38.1,46.0,7.9,14,decreasing
37.3,45.0,7.7,14,decreasing
36.6,44.0,7.4,14,decreasing
36.0,43.0,7.0,14,decreasing
35.3,42.0,6.7,14,decreasing
35.0,41.0,6.0,14,decreasing
34.3,40.0,5.7,14,decreasing
33.6,39.0,5.4,14,decreasing
33.0,38.0,5.0,14,decreasing
32.2,37.0,4.8,14,decreasing
31.8,36.0,4.2,14,decreasing
31.4,35.0,3.6,14,decreasing
30.8,34.0,3.2,14,decreasing
30.2,34.5,4.3,14,decreasing
24.2,24.4,0.2,15,increasing
29.3,31.4,2.1,15,increasing
32.1,35.1,3.0,15,increasing
35.4,39.0,3.6,15,increasing
35.2,40.5,5.3,15,increasing
40.0,45.2,5.2,15,increasing
42.8,50.0,7.2,15,increasing
41.4,47.5,6.1,15,decreasing
39.7,44.9,5.2,15,decreasing
38.0,42.5,4.5,15,decreasing
36.0,40.0,4.0,15,decreasing
34.1,37.4,3.3,15,decreasing
32.2,35.0,2.8,15,decreasing
30.3,32.5,2.2,15,decreasing
24.5,24.0,-0.5,16,increasing
28.4,30.1,1.7,16,increasing
31.7,34.9,3.2,16,increasing
32.1,36.6,4.5,16,increasing
32.4,37.6,5.2,16,increasing
34.3,39.5,5.2,16,increasing
35.4,41.9,6.5,16,increasing
36.1,43.0,6.9,16,increasing
38.1,44.8,6.7,16,increasing
40.7,49.8,9.1,16,increasing
40.1,48.6,8.5,16,decreasing
39.6,47.7,8.1,16,decreasing
38.6,46.0,7.4,16,decreasing
38.0,45.0,7.0,16,decreasing
37.6,43.5,5.9,16,decreasing
37.0,42.3,5.3,16,decreasing
36.1,41.5,5.4,16,decreasing
35.7,40.6,4.9,16,decreasing
34.9,39.6,4.7,16,decreasing
34.6,38.6,4.0,16,decreasing
33.7,37.5,3.8,16,decreasing
32.9,36.5,3.6,16,decreasing
32.3,35.3,3.0,16,decreasing
31.9,34.4,2.5,16,decreasing
30.9,33.5,2.6,16,decreasing
30.4,32.7,2.3,16,decreasing
30.1,32.0,1.9,16,decreasing
26.0,24.3,-1.7,16,increasing
26.0,27.7,1.7,16,increasing
27.0,29.3,2.3,16,increasing
27.8,30.6,2.8,16,increasing
29.0,33.1,4.1,16,increasing
32.4,35.9,3.5,16,increasing
33.0,37.0,4.0,16,increasing
34.0,40.1,6.1,16,increasing
35.5,43.5,8.0,16,increasing
36.0,44.8,8.8,16,increasing
37.3,47.8,10.5,16,increasing
39.4,49.0,9.6,16,increasing
38.5,47.5,9.0,16,decreasing
38.6,46.6,8.0,16,decreasing
38.2,44.0,5.8,16,decreasing
38.0,43.0,5.0,16,decreasing
37.7,41.5,3.8,16,decreasing
37.1,40.6,3.5,16,decreasing
36.7,39.3,2.6,16,decreasing
36.2,38.2,2.0,16,decreasing
35.8,37.1,1.3,16,decreasing
35.3,35.4,0.1,16,decreasing
34.6,33.5,-1.1,16,decreasing
34.1,32.5,-1.6,16,decreasing
33.9,31.3,-2.6,16,decreasing
30.4,29.9,-0.5,16,decreasing
33.0,29.0,-4.0,16,decreasing
24.4,24.4,0.0,18,increasing
25.0,26.0,1.0,18,increasing
29.1,32.6,3.5,18,increasing
29.4,34.4,5.0,18,increasing
32.9,40.4,7.5,18,increasing
35.2,44.5,9.3,18,increasing
36.2,47.0,10.8,18,increasing
36.0,46.0,10.0,18,decreasing
35.5,45.0,9.5,18,decreasing
35.1,44.0,8.9,18,decreasing
34.7,43.0,8.3,18,decreasing
34.4,42.0,7.6,18,decreasing
34.0,41.0,7.0,18,decreasing
33.5,40.0,6.5,18,decreasing
33.1,39.0,5.9,18,decreasing
32.7,38.0,5.3,18,decreasing
32.2,37.0,4.8,18,decreasing
31.9,36.0,4.1,18,decreasing
31.3,35.0,3.7,18,decreasing
30.8,34.0,3.2,18,decreasing
30.3,33.0,2.7,18,decreasing
29.9,32.0,2.1,18,decreasing
29.2,31.0,1.8,18,decreasing
24.6,24.7,0.1,19,increasing
28.4,30.4,2.0,19,increasing
31.1,35.2,4.1,19,increasing
33.6,40.0,6.4,19,increasing
36.7,45.7,9.0,19,increasing
37.0,46.0,9.0,19,decreasing
36.5,43.5,7.0,19,decreasing
35.7,42.5,6.8,19,decreasing
35.4,42.0,6.6,19,decreasing
34.9,41.0,6.1,19,decreasing
34.1,39.5,5.4,19,decreasing
33.5,38.0,4.5,19,decreasing
33.1,37.0,3.9,19,decreasing
32.5,36.0,3.5,19,decreasing
31.6,35.0,3.4,19,decreasing
30.7,34.0,3.3,19,decreasing
30.0,33.0,3.0,19,decreasing
29.5,32.0,2.5,19,decreasing
